market,asin,title,keyword,卖家,store,remark,link,image_url,Discount Price,Commission,status
DE,B0G6ZBTVWF,德国助眠器,einschlafhilfegerät schlafhilfegerät,大乐卖999测评-吴榕兴,WangChaoShop,Need Text Review,https://amzn.to/4sKvuM2,https://m.media-amazon.com/images/I/41CqeOtMmiL._AC_SX425_.jpg,0.00,0.00,active
DE,B0GBFRDSC7,德国迷你摄像机 ,https://www.amazon.de/s?k=Mini+Kamera&hidden-keywords=B0GBFRDSC7&ref=nb_sb_noss_1,之星涓涓团队,Jiajiaking,"Need Text Review
The color of the received product is black.",https://www.amazon.de/s?k=Mini+Kamera&hidden-keywords=B0GBFRDSC7&ref=nb_sb_noss_1,http://154.48.226.95:5001/image/20260124/70dc86ce046e4c8f922f1a89d0a723fe.jpg,0.00,5.00,active
DE,B0FY5WFL1C,德国电动牙刷,automatische ultraschall zahnbürste,叔叔团队,Hongzhou Wang Store,Need Text Review,https://amzn.to/4pPuvYp,https://m.media-amazon.com/images/I/51Bo68S6RjL._AC_SY450_.jpg,0.00,0.00,active
DE,B0FH1XPGF4,德国脚踏,fahrradpedale rutschfeste nylonfaser,美国帐篷,Pardus Bikes,"Need Text Review
use coupon",https://amzn.to/3NrufBr,https://m.media-amazon.com/images/I/61R-4aFDNqL._AC_SX425_.jpg,0.00,0.00,active
DE,B0DMNZH78M,德国美容仪,Gesichtsmassagegerät,叔叔团队,better personal care ,Need Text Review,https://amzn.to/4bfY6qv,https://m.media-amazon.com/images/I/61f3hB8HMfL._AC_SX425_.jpg,0.00,0.00,active
DE,B0GDCHNHRN,德国颈部仪,anti gegen falten beauty device,大乐卖999测评-吴榕兴, LuHoYa Store,Need Text Review,https://amzn.to/49Q2auY,https://m.media-amazon.com/images/I/61YjcN6GjKL._AC_SX425_.jpg,0.00,0.00,active
DE,B0D838NXW6,德国负面佣金,https://amzn.to/49wBwr9,小华团队,boadw,"need 1 star bad review and return
",https://amzn.to/49wBwr9,https://m.media-amazon.com/images/I/51+caRwcP+L._AC_SL1200_.jpg,0.00,20.00,active
DE,B0F7PG5G9L,德国耳鸣喷雾,tinnitus,之星涓涓团队,haochenHaoZhou,Need Text Review,https://amzn.to/48avH1y,https://m.media-amazon.com/images/I/61ooTCQS9DL._AC_SY450_.jpg,0.00,0.00,active
DE,B0FM4BVCGP,德国吸水条,kondenswasser absorber für fenster,啊波团队,exdoing,Need Text Review,https://amzn.to/3XF8SOT,https://m.media-amazon.com/images/I/71Mj0QpIBwL._AC_SY300_SX300_QL70_ML2_.jpg,0.00,0.00,active
DE,B0FY12R2VX,德国礼物,geldgeschenk 18. geburtstag junge,红海德国婴儿材料包,YangZhen EU,Need Text Review,https://amzn.to/44hpr7d,https://m.media-amazon.com/images/I/71WwTrmcolL._AC_SX679_.jpg,0.00,0.00,active
DE,B0FYNWB7QG,德国木质红包牌,Geldgeschenke Geburtstag Mädchen,红海德国婴儿材料包, Bella Prime Sociedad Limitada,Need Text Review,https://amzn.to/48GayNe,https://m.media-amazon.com/images/I/61ocB408GnL._AC_SX679_.jpg,0.00,0.00,active
DE,B0F5B9YF9F,德国退货上1星差评 ,https://amzn.to/3XEPhOZ,小华团队,BAOWODA,need 1 star bad review and return,https://amzn.to/3XEPhOZ,https://m.media-amazon.com/images/I/51+caRwcP+L._AC_SL1200_.jpg,0.00,20.00,active
DE,B0D266RW5F,德国负面佣金,"Wisualarm Smoke Detector Networked with Base Station, Intelligent Fire Alarm for Home with App for Instant Push Notifications",小华团队,Wisualarm,One-star review return,https://amzn.to/4pOhOwP,https://m.media-amazon.com/images/I/51+caRwcP+L._AC_SL1200_.jpg,0.00,20.00,active
DE,B0FH4TPXTY,德国负面佣金,https://amzn.to/4sa0GEa,小华团队,Meross-Shuzu-EU,"One-star review, requires return, payment of commission",https://amzn.to/4sa0GEa,https://m.media-amazon.com/images/I/51+caRwcP+L._AC_SL1200_.jpg,0.00,20.00,active
DE,B0FZJ5CTVW,德国驱蚊器,Elektronischer Schädlingsschutz,大乐卖999测评-吴榕兴,liangzhengSXR,Need Text Review,https://amzn.to/49L1Z4e,https://m.media-amazon.com/images/I/61kNmmienCL._AC_SX679_.jpg,0.00,0.00,active
