market,asin,title,keyword,store,remark,link,image_url,Discount Price,Commission,status
UK,B0F3CS1VTR,英国断路器,consumer unit, BBA TRANSPORT,Need Text Review,https://amzn.to/3KVDlWd,https://m.media-amazon.com/images/I/61iUZe3t4zL._SX522_.jpg,0.00,0.00,active
UK,B0G3PNYG2K,英国充电宝,BYEGUJIN Power Bank 881,"Guangzhou Lintang Trading Co., Ltd.",Need Text Review,https://amzn.to/4asYO39,https://m.media-amazon.com/images/I/71-rsTUyCmL._AC_SX569_.jpg,0.00,0.00,active
UK,B0FGXL4D4K,英国充电宝,Xiaocodou Power Bank ," Guangzhou Lintang Trading Co., Ltd.","Need Text Review
Sold by Guangzhou Lintang Trading Co., Ltd.",https://amzn.to/4aV7Tli,https://m.media-amazon.com/images/I/61Njd-RC0BL._AC_SX679_.jpg,0.00,0.00,active
UK,B0DS84WVKR,英国手电筒,2-Pack Wind Up Torch,pengheFangYi,,https://amzn.to/44QyAUJ,https://m.media-amazon.com/images/I/61zQi0mq0kL._AC_SX679_.jpg,0.00,0.00,active
UK,B0G4TPDGG4,英国公主鞋,Mary Janes Princess Shoes Girls Party Shoes,MOMOHU SHOP,Need Text Review,https://amzn.to/4baPp0i,https://m.media-amazon.com/images/I/81AM2PSmtML._AC_SY695_.jpg,0.00,0.00,active
UK,B0FQ5HM4ZZ,英国电动牙刷,automatic ultrasonic toothbrush,keyistore,Need Text Review,https://amzn.to/4sjnyBn,https://m.media-amazon.com/images/I/61rhtDthZgL._AC_SX679_.jpg,0.00,0.00,active
UK,B0FP4WBTGN,英国驱蚊灯,Waterproof Mosquito Killer,TaoGeng Store,Need Text Review,https://amzn.to/49WZIVg,https://m.media-amazon.com/images/I/61DVWIJ8YeL._AC_SX679_.jpg,0.00,0.00,active
UK,B0G2GR615Z,英国蘑菇软糖,mushroom gummies lions mane gummies,MSAVEHU LTD,Need Text Review,https://amzn.to/4aINm3j,https://m.media-amazon.com/images/I/71ftIFZgQDL._AC_SX679_.jpg,0.00,4.00,active
UK,B0FY5PBDTX,英国贴片,Weightless Patches, NODDYHU LTD,Need Text Review,https://amzn.to/4pDTLSi,https://m.media-amazon.com/images/I/61Rvo5soJPL._AC_SX679_.jpg,0.00,4.00,active
UK,B0FY5Z24H6,英国多巴胺贴片,dopamine patches, NODDYHU LTD,Need Text Review,https://amzn.to/4p9ds40,https://m.media-amazon.com/images/I/61NYFOUyKEL._AC_SX679_.jpg,0.00,4.00,active
UK,B0FY4Q6H7G,英国消肿贴 ,unpuff patches, NODDYHU LTD,Need Text Review,https://amzn.to/4rlf2kG,https://m.media-amazon.com/images/I/711Xyh+QjZL._AC_SX679_.jpg,0.00,4.00,active
UK,B0DQP5FL41,英国美容仪,Facial and Neck Massager,better personal care ,Need Text Review,https://amzn.to/3XTtR0m,https://f.media-amazon.com/images/I/61ukpZB3b6L._AC_SX679_.jpg,0.00,0.00,active
